record_id,shap_top_feature,shap_top_value,lime_top_feature,lime_top_value,agreement_score,agreement_tier,label,decision,risk_score,ensemble_confidence,ground_truth,shap_top_k,lime_top_k,lime_source,status,overlap_features,shap_only_features,lime_only_features,interpretation
W1-014,,,,,0.4286,,,,0.5,0.6672,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'action_enc']","['confidence', 'semantic_score', 'compliance_severity', 'direction_enc', 'dst_port_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['action_enc', 'reasoning_length']","['direction_enc', 'dst_port_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['action_enc', 'reasoning_length'], LIME flags ['direction_enc', 'dst_port_is_any']. Moderate reliability."
W1-015,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'direction_enc', 'reasoning_length']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_is_any'],['direction_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W1-016,,,,,0.6667,,,,0.5,0.628,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'action_enc']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'src_is_any']",real,STRONG_AGREEMENT,"['action_enc', 'compliance_severity', 'confidence', 'semantic_score']",['reasoning_length'],['src_is_any'],"Both methods consistently identify ['action_enc', 'compliance_severity', 'confidence', 'semantic_score'] as primary risk drivers. High explanation reliability."
W1-017,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'direction_enc', 'dst_port_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['direction_enc', 'dst_port_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['direction_enc', 'dst_port_is_any']. Moderate reliability."
W1-018,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'action_enc', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'src_is_any', 'reasoning_length']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['action_enc', 'dst_is_any']","['reasoning_length', 'src_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['action_enc', 'dst_is_any'], LIME flags ['reasoning_length', 'src_is_any']. Moderate reliability."
W1-019,,,,,0.4286,,,,0.5,0.8219,hallucinated,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'src_is_any', 'direction_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['direction_enc', 'src_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['direction_enc', 'src_is_any']. Moderate reliability."
W1-020,,,,,0.4286,,,,0.5,0.671,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'dst_is_any', 'action_enc']","['compliance_severity', 'confidence', 'protocol_enc', 'semantic_score', 'reasoning_length']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['action_enc', 'dst_is_any']","['protocol_enc', 'reasoning_length']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['action_enc', 'dst_is_any'], LIME flags ['protocol_enc', 'reasoning_length']. Moderate reliability."
W2-021,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'reasoning_length']","['confidence', 'semantic_score', 'compliance_severity', 'dst_port_numeric', 'direction_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['direction_enc', 'dst_port_numeric']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['direction_enc', 'dst_port_numeric']. Moderate reliability."
W2-022,,,,,0.4286,,,,0.5,0.6695,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'action_enc', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_port_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['action_enc', 'dst_is_any']","['dst_port_is_any', 'reasoning_length']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['action_enc', 'dst_is_any'], LIME flags ['dst_port_is_any', 'reasoning_length']. Moderate reliability."
W2-023,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'dst_port_numeric']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'dst_port_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'dst_port_numeric']","['action_enc', 'dst_port_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'dst_port_numeric'], LIME flags ['action_enc', 'dst_port_is_any']. Moderate reliability."
W2-024,,,,,0.4286,,,,0.5,0.6242,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'dst_port_numeric', 'reasoning_length']","['confidence', 'semantic_score', 'compliance_severity', 'dst_port_is_any', 'dst_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_port_numeric', 'reasoning_length']","['dst_is_any', 'dst_port_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_port_numeric', 'reasoning_length'], LIME flags ['dst_is_any', 'dst_port_is_any']. Moderate reliability."
W2-025,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'reasoning_length']","['confidence', 'semantic_score', 'compliance_severity', 'src_is_any', 'protocol_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['protocol_enc', 'src_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['protocol_enc', 'src_is_any']. Moderate reliability."
W2-026,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_is_any']","['semantic_score', 'confidence', 'compliance_severity', 'dst_is_any', 'dst_port_numeric']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['reasoning_length'],['dst_port_numeric'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-027,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_port_numeric', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'reasoning_length']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'dst_port_numeric']","['action_enc', 'reasoning_length']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'dst_port_numeric'], LIME flags ['action_enc', 'reasoning_length']. Moderate reliability."
W2-028,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'direction_enc', 'protocol_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['direction_enc', 'protocol_enc']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['direction_enc', 'protocol_enc']. Moderate reliability."
W2-029,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'action_enc', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'src_is_any', 'reasoning_length']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['action_enc', 'dst_is_any']","['reasoning_length', 'src_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['action_enc', 'dst_is_any'], LIME flags ['reasoning_length', 'src_is_any']. Moderate reliability."
W2-030,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'reasoning_length']","['confidence', 'semantic_score', 'compliance_severity', 'dst_port_is_any', 'reasoning_length']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_is_any'],['dst_port_is_any'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-031,,,,,0.4286,,,,0.5,0.615,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'action_enc', 'reasoning_length']","['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'src_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['action_enc', 'reasoning_length']","['dst_is_any', 'src_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['action_enc', 'reasoning_length'], LIME flags ['dst_is_any', 'src_is_any']. Moderate reliability."
W2-032,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'action_enc', 'reasoning_length']","['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_port_numeric']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['action_enc'],['dst_port_numeric'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-033,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_port_numeric', 'dst_is_any']","['semantic_score', 'confidence', 'compliance_severity', 'action_enc', 'protocol_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'dst_port_numeric']","['action_enc', 'protocol_enc']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'dst_port_numeric'], LIME flags ['action_enc', 'protocol_enc']. Moderate reliability."
W2-034,,,,,0.6667,,,,0.5,0.7574,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'action_enc', 'reasoning_length']","['compliance_severity', 'semantic_score', 'confidence', 'reasoning_length', 'protocol_enc']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['action_enc'],['protocol_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-035,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_port_numeric', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'protocol_enc', 'src_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'dst_port_numeric']","['protocol_enc', 'src_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'dst_port_numeric'], LIME flags ['protocol_enc', 'src_is_any']. Moderate reliability."
W2-036,,,,,0.4286,,,,0.5,0.615,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'action_enc', 'reasoning_length']","['compliance_severity', 'dst_port_is_any', 'src_is_any', 'confidence', 'reasoning_length']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length']","['action_enc', 'semantic_score']","['dst_port_is_any', 'src_is_any']","Methods agree on ['compliance_severity', 'confidence', 'reasoning_length'] but diverge: SHAP additionally flags ['action_enc', 'semantic_score'], LIME flags ['dst_port_is_any', 'src_is_any']. Moderate reliability."
W2-037,,,,,0.4286,,,,0.5,0.5965,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'action_enc', 'reasoning_length']","['compliance_severity', 'semantic_score', 'dst_port_is_any', 'direction_enc', 'confidence']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['action_enc', 'reasoning_length']","['direction_enc', 'dst_port_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['action_enc', 'reasoning_length'], LIME flags ['direction_enc', 'dst_port_is_any']. Moderate reliability."
W2-038,,,,,0.6667,,,,0.5,0.615,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'action_enc', 'reasoning_length']","['compliance_severity', 'action_enc', 'confidence', 'dst_port_is_any', 'semantic_score']",real,STRONG_AGREEMENT,"['action_enc', 'compliance_severity', 'confidence', 'semantic_score']",['reasoning_length'],['dst_port_is_any'],"Both methods consistently identify ['action_enc', 'compliance_severity', 'confidence', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-039,,,,,0.6667,,,,0.5,0.615,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'action_enc', 'reasoning_length']","['compliance_severity', 'protocol_enc', 'reasoning_length', 'confidence', 'action_enc']",real,STRONG_AGREEMENT,"['action_enc', 'compliance_severity', 'confidence', 'reasoning_length']",['semantic_score'],['protocol_enc'],"Both methods consistently identify ['action_enc', 'compliance_severity', 'confidence', 'reasoning_length'] as primary risk drivers. High explanation reliability."
W2-040,,,,,0.25,,,,0.5,0.615,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'action_enc', 'reasoning_length']","['compliance_severity', 'src_is_any', 'dst_port_numeric', 'reasoning_length', 'dst_is_any']",real,DISAGREEMENT,"['compliance_severity', 'reasoning_length']","['action_enc', 'confidence', 'semantic_score']","['dst_is_any', 'dst_port_numeric', 'src_is_any']","Significant divergence. SHAP attributes risk to ['action_enc', 'confidence', 'semantic_score'], LIME to ['dst_is_any', 'dst_port_numeric', 'src_is_any']. Policy requires manual review."
W2-041,,,,,0.4286,,,,0.5,0.682,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'action_enc']","['confidence', 'semantic_score', 'compliance_severity', 'src_is_any', 'direction_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['action_enc', 'dst_is_any']","['direction_enc', 'src_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['action_enc', 'dst_is_any'], LIME flags ['direction_enc', 'src_is_any']. Moderate reliability."
W2-042,,,,,0.4286,,,,0.5,0.682,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'action_enc']","['confidence', 'semantic_score', 'compliance_severity', 'dst_port_numeric', 'src_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['action_enc', 'dst_is_any']","['dst_port_numeric', 'src_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['action_enc', 'dst_is_any'], LIME flags ['dst_port_numeric', 'src_is_any']. Moderate reliability."
W2-043,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_port_numeric', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'dst_is_any', 'action_enc']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['dst_port_numeric'],['action_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-044,,,,,0.6667,,,,0.5,0.7224,correct,"['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'src_is_any', 'action_enc']",real,STRONG_AGREEMENT,"['action_enc', 'compliance_severity', 'confidence', 'semantic_score']",['dst_is_any'],['src_is_any'],"Both methods consistently identify ['action_enc', 'compliance_severity', 'confidence', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-045,,,,,0.6667,,,,0.5,0.6427,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'dst_is_any', 'action_enc']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'dst_port_is_any']",real,STRONG_AGREEMENT,"['action_enc', 'compliance_severity', 'confidence', 'semantic_score']",['dst_is_any'],['dst_port_is_any'],"Both methods consistently identify ['action_enc', 'compliance_severity', 'confidence', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-046,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'protocol_enc', 'action_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['action_enc', 'protocol_enc']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['action_enc', 'protocol_enc']. Moderate reliability."
W2-047,,,,,0.6667,,,,0.5,0.6427,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'dst_is_any', 'dst_port_numeric']","['confidence', 'semantic_score', 'compliance_severity', 'protocol_enc', 'dst_is_any']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['dst_port_numeric'],['protocol_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-048,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_port_numeric', 'dst_is_any']","['semantic_score', 'confidence', 'compliance_severity', 'reasoning_length', 'dst_port_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'dst_port_numeric']","['dst_port_is_any', 'reasoning_length']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'dst_port_numeric'], LIME flags ['dst_port_is_any', 'reasoning_length']. Moderate reliability."
W2-049,,,,,0.6667,,,,0.5,0.6465,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'reasoning_length']","['confidence', 'semantic_score', 'compliance_severity', 'dst_is_any', 'action_enc']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['reasoning_length'],['action_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-050,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'src_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'dst_port_numeric', 'reasoning_length']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['src_is_any'],['dst_port_numeric'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-051,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'action_enc', 'dst_is_any']","['semantic_score', 'confidence', 'compliance_severity', 'dst_is_any', 'protocol_enc']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['action_enc'],['protocol_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-052,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'reasoning_length']","['confidence', 'semantic_score', 'compliance_severity', 'dst_is_any', 'action_enc']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['reasoning_length'],['action_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
